,Country,Year,65-69 years,70-74 years,85+ years,80-84 years,75-79 years,60-64 years,45-49 years,55-59 years,15-19  years,10-14 years,5-9 years,30-34 years,35-39 years,<1 year,50-54 years,20-24 years,40-44 years,1-4 years,25-29 years
49,Mauritius,2019,8340,10730,29817,14920,13648,6100,2319.0,4315,295.1,107.9,88.05,761.8,1125,1315,3244.0,478.3,1598.0,198.5,599.4
50,Bulgaria,2019,8616,10748,28543,17195,13836,6744,1998.0,4985,220.1,91.52,77.64,474.4,728.4,552.7,3268.0,269.0,1192.0,113,347.8
51,Portugal,2019,4746,6878,50622,16107,10749,3576,1044.0,2513,100.6,41.84,36.0,231.7,334.3,307.3,1700.0,147.5,606.2,63.27,196.0
52,Equatorial Guinea,2019,8448,10751,15196,12281,12302,6653,3957.0,5206,581.3,593.7,902.4,2005.0,2805,6164,4460.0,825.9,3436.0,2147,1285.0
53,Greece,2019,5249,8077,49034,15602,10752,3982,934.5,2616,118.2,45.46,41.9,241.2,375.4,324.8,1644.0,189.2,538.4,44.9,190.0
54,Antigua and Barbuda,2019,7503,10756,31173,18902,14450,5790,1372.0,3718,227.8,96.11,68.32,494.6,706.2,585.3,2278.0,425.1,874.5,80.39,500.0
55,Kyrgyzstan,2019,8874,10756,24741,18815,16714,5335,1894.0,3914,269.3,163.5,129.4,509.1,960.8,1766,2509.0,343.3,1686.0,192.3,428.9
56,Barbados,2019,7371,10763,33086,16619,14336,5341,1574.0,3475,304.9,116.9,54.55,689.9,807.3,1124,2227.0,417.4,1079.0,92.26,521.4
57,Sweden,2019,4506,6974,53057,16558,10789,2876,628.3,1677,108.2,40.38,30.31,295.8,311.4,203.8,1012.0,202.6,410.8,48.1,272.2
58,Afghanistan,2019,11515,13017,9970,10799,12938,9677,3913.0,7464,617.2,173.2,216.6,1402.0,1936,4625,5511.0,930.3,2794.0,1365,1138.0
59,Eritrea,2019,11142,12577,10823,10961,12737,9599,4293.0,7584,686.7,369.5,350.4,1535.0,2155,2999,5808.0,996.0,3113.0,1065,1205.0
60,Seychelles,2019,8898,10850,25629,15978,15535,6388,2356.0,4462,281.7,131.5,118.5,842.8,1028,1216,3252.0,549.0,1668.0,198.3,617.7
61,Oman,2019,10879,15290,16756,20801,19555,5956,1161.0,3338,388.1,125.4,126.7,441.5,532.9,888.6,1959.0,526.3,724.3,161.8,389.6
62,China,2019,6722,10884,33488,19784,15152,4412,1188.0,2845,177.9,96.14,91.72,416.6,605.5,676.4,1862.0,277.8,905.9,113.7,300.9
63,Israel,2019,4396,6651,53660,15731,10897,2987,694.0,1939,123.9,42.72,30.85,228.6,328.5,296.7,1153.0,154.0,422.2,74.94,190.3
64,Jamaica,2019,7614,10903,33779,15103,13672,5383,1801.0,3688,185.9,149.0,122.8,698.7,915.4,1206,2515.0,342.8,1244.0,192.3,484.4
65,Finland,2019,5104,7279,50497,16114,10907,3523,846.8,2112,146.8,39.4,32.65,324.5,382.1,202.2,1380.0,234.5,541.5,42.35,291.8
66,Zambia,2019,9602,11211,12955,10935,11724,8244,4467.0,6763,741.1,389.8,650.2,1857.0,2580,4361,5670.0,1059.0,3542.0,1914,1336.0
67,Germany,2019,5871,8285,47540,16098,10936,4171,922.5,2584,112.9,41.12,38.4,249.9,366.6,302.2,1548.0,149.6,558.6,56.03,168.6
68,Kazakhstan,2019,9464,10946,26940,16186,14898,6304,2201.0,4138,279.8,140.3,131.6,711.7,1164,959.2,2877.0,391.2,1679.0,112,477.7
69,Luxembourg,2019,5596,7872,52147,15100,10949,3109,852.4,1740,103.5,19.37,18.44,117.2,280.7,220.4,1190.0,91.07,405.1,47.18,142.5
70,Panama,2019,5323,7992,47040,14324,10961,3649,1231.0,2486,409.0,160.7,132.7,588.9,660,1282,1710.0,460.6,782.2,203.3,605.3
71,Chad,2019,9493,11676,12396,10988,11982,7766,3264.0,5763,655.3,925.6,1344.0,1405.0,1864,6992,4473.0,873.0,2547.0,4502,1092.0
72,Burkina Faso,2019,9856,12317,13895,11852,12907,7949,3024.0,5819,655.9,594.9,1003.0,1239.0,1608,5439,4354.0,872.2,2239.0,3352,1022.0
73,Tajikistan,2019,12409,16470,11409,15848,18437,7897,1901.0,4869,257.0,80.56,61.37,738.1,1005,3006,2852.0,426.3,1363.0,420,550.5
74,Yemen,2019,9609,12355,17736,13895,13936,7362,2459.0,5058,654.2,604.0,595.4,1123.0,1337,4399,3585.0,1006.0,1805.0,1462,1018.0
75,United Kingdom of Great Britain and Northern Ireland,2019,4841,7626,49758,16216,11163,3431,1007.0,2189,97.06,41.23,35.13,292.8,423.8,380.6,1385.0,156.2,690.9,58.65,207.2
76,Thailand,2019,5867,8202,42847,14216,11144,4080,1742.0,2888,435.6,252.9,162.3,1008.0,1214,764.2,2243.0,586.2,1438.0,128,783.3
77,Belarus,2019,9164,11107,27803,15843,13987,6875,2365.0,4941,151.4,64.81,59.23,637.4,1009,286.5,3406.0,214.2,1637.0,79.43,370.3
78,Lebanon,2019,8004,11555,31511,17007,14990,5608,1429.0,3714,272.8,95.99,88.97,433.3,586.1,643.3,2329.0,367.6,888.7,101.2,375.7
79,South Sudan,2019,8843,11607,16299,12505,13001,6806,2883.0,4898,534.7,668.6,1223.0,1360.0,1792,6339,3768.0,749.9,2285.0,3425,1013.0
80,Trinidad and Tobago,2019,6452,8634,37984,15345,11523,5016,1683.0,3278,511.9,141.1,93.6,921.1,1013,1572,2650.0,926.7,1324.0,188.6,742.1
81,Switzerland,2019,4066,6249,57261,15593,9271,2715,583.5,1675,88.31,36.13,30.18,159.8,242.9,346.4,1014.0,124.5,356.6,43.19,144.2
82,Sudan,2019,9031,12372,21012,15478,14954,6544,2008.0,4321,366.8,269.6,510.1,772.1,1016,4104,2981.0,501.7,1424.0,1732,603.0
83,Ukraine,2019,8857,11168,25193,15122,14259,6746,2884.0,4927,243.3,93.74,75.83,1017.0,1542,775.6,3771.0,375.1,2223.0,119.2,606.8
84,Qatar,2019,6004,12117,17025,35566,20253,3024,715.4,1756,233.5,69.78,68.01,245.2,353,559.6,1018.0,269.2,395.2,88.25,240.2
85,United States of America,2019,6001,8583,43163,14583,11250,4616,1440.0,3508,236.6,75.73,60.58,723.5,863.9,549.3,2222.0,443.6,1018.0,90.29,572.5
86,Tonga,2019,9488,12020,24386,15004,14103,7058,2400.0,5302,326.8,80.94,153.1,740.0,1029,1449,3572.0,491.1,1599.0,240.4,557.8
87,France,2019,4643,6279,56032,13575,8614,3633,978.0,2544,103.1,39.65,34.04,258.8,371.6,390.6,1485.0,163.0,579.7,68.78,208.7
88,Cabo Verde,2019,8472,11295,26034,17930,15143,6029,2053.0,4253,358.9,103.2,85.38,615.0,870.2,1296,2985.0,463.1,1316.0,208.1,489.8
89,Brunei Darussalam,2019,7914,12236,24274,17896,19050,5198,1870.0,3932,152.4,109.3,129.6,527.6,873.8,1039,2609.0,323.0,1188.0,181.8,497.1
90,Georgia,2019,8979,11107,22974,16784,16906,7016,2342.0,5107,290.5,126.1,112.8,587.1,961.1,893,3435.0,383.9,1441.0,104.9,448.5
91,Chile,2019,5084,8613,47798,15202,11426,3375,1043.0,2483,200.5,78.91,62.08,391.5,491.2,632.5,1655.0,290.7,727.2,99.6,345.3
92,Kenya,2019,9155,11553,16618,13054,13116,7388,3915.0,5835,622.8,434.4,508.9,1486.0,2168,3281,4849.0,815.4,3010.0,1143,1047.0
93,Albania,2019,4250,8403,33443,27474,15423,3490,887.4,2085,235.7,105.0,93.82,158.0,307.9,883.9,1561.0,212.0,664.8,107.6,215.5
94,Maldives,2019,5614,12333,38745,19254,14263,3487,690.5,2366,219.2,105.0,78.72,208.5,247.9,678.1,949.2,154.0,304.5,107.9,194.9
