,Country,Year,65-69 years,70-74 years,85+ years,80-84 years,75-79 years,60-64 years,45-49 years,55-59 years,15-19  years,10-14 years,5-9 years,30-34 years,35-39 years,<1 year,50-54 years,20-24 years,40-44 years,1-4 years,25-29 years
331,Georgia,2015,9183,11968,20103,18499,15981,6860,2530.0,5291,303.4,130.9,121.5,722.3,986.5,908.6,3665.0,448.2,1654.0,114.4,528.7
332,Denmark,2015,5710,8385,45195,17509,11972,4173,927.7,2624,81.42,33.14,31.72,198.1,300.8,379.6,1623.0,151.4,517.7,33.78,153.7
333,Estonia,2015,7199,9814,37834,15643,11983,5483,1616.0,3867,257.2,73.92,62.49,758.5,791.8,287.2,2498.0,220.7,1119.0,67.43,424.5
334,Slovakia,2015,7457,9983,32698,18908,13857,5776,1553.0,3959,172.5,73.17,67.57,341.2,562.2,540.1,2551.0,243.0,870.5,110.9,276.8
335,Rwanda,2015,9484,12299,17986,14071,14070,7353,2902.0,5307,508.5,524.7,606.3,1135.0,1559,3285,4059.0,708.3,2178.0,1104,861.5
336,Honduras,2015,9969,12735,19085,14441,14660,7543,2581.0,5426,741.7,266.3,211.4,1167.0,1380,1686,3762.0,1108.0,1824.0,280.7,1133.0
337,Senegal,2015,9563,12453,17940,13971,13916,7372,2673.0,5139,503.6,533.6,717.1,1109.0,1461,3617,3804.0,712.5,2024.0,1622,870.2
338,Ireland,2015,4969,8059,47560,17479,12253,3144,815.5,2185,111.0,28.69,28.66,276.6,349.1,349.9,1383.0,195.5,506.9,46.8,259.0
339,Nepal,2015,9866,13062,18437,15278,15263,7362,2293.0,5018,536.9,361.5,493.0,851.6,1120,2921,3479.0,679.4,1595.0,665.3,717.4
340,Qatar,2015,6626,13334,15007,33511,21595,3248,802.7,1926,266.5,87.39,85.23,255.7,393.8,673.2,1121.0,288.9,432.0,97.3,249.1
341,Bhutan,2015,8753,12510,23359,17222,16001,6045,1671.0,3893,312.5,482.2,286.2,604.0,795.9,2877,2572.0,411.7,1129.0,584.9,490.4
342,Mexico,2015,7390,9702,34928,15359,13261,5117,1722.0,3689,363.4,145.1,113.4,737.3,944.6,1364,2528.0,552.1,1234.0,226.7,623.6
343,Sudan,2015,9002,12244,20211,14860,14533,6603,2122.0,4414,435.5,283.9,582.9,897.5,1145,4568,3106.0,621.1,1550.0,2088,732.5
344,Paraguay,2015,7256,9510,35792,15136,12468,5320,1739.0,3646,401.1,216.0,96.27,689.5,768.4,1911,2535.0,523.7,1148.0,325.7,519.7
345,Malaysia,2015,8132,12384,27764,15829,15527,6261,1943.0,4431,341.4,143.2,115.9,559.8,829,664.9,2962.0,380.4,1234.0,116.4,382.6
346,Algeria,2015,5818,8585,37953,18850,13497,4095,1151.0,2514,270.3,170.1,182.3,460.3,604.4,2219,1722.0,354.5,814.0,354.5,386.1
347,Iran (Islamic Republic of),2015,6601,9768,35066,17671,15054,4561,1154.0,2929,421.1,207.6,203.9,509.7,604.9,1417,1851.0,474.7,813.1,225.7,467.3
348,Lao People's Democratic Republic,2015,9927,12656,17063,13921,14015,7822,2592.0,5480,492.2,509.7,440.9,983.9,1279,4361,3910.0,712.0,1865.0,1163,807.3
349,Mozambique,2015,8824,9644,8388,8006,9367,8062,5637.0,7019,1164.0,721.7,850.8,3625.0,4439,6141,6296.0,1765.0,5087.0,2360,2601.0
350,Bahamas,2015,7705,9499,30218,14541,12472,5688,2638.0,4361,542.1,150.9,128.3,1362.0,1555,1365,3483.0,992.9,1939.0,188.9,1171.0
351,Eswatini,2015,7904,8109,6426,6571,7767,7743,7646.0,7797,1183.0,394.5,959.8,4903.0,6096,4915,7829.0,2157.0,6864.0,1363,3374.0
352,Brunei Darussalam,2015,8793,13656,23123,18372,17626,5352,1834.0,3804,178.0,119.5,137.1,550.5,773,768.6,2588.0,350.7,1281.0,183.1,510.2
353,Kyrgyzstan,2015,9464,12115,19993,17216,15703,7130,2364.0,4753,294.9,166.4,142.1,839.9,1346,1866,3374.0,430.0,1979.0,248.8,573.6
354,Serbia,2015,8638,12183,24645,19433,16095,6562,1701.0,4502,140.0,71.28,63.71,411.9,646.5,524.4,2877.0,215.1,926.9,87.81,276.7
355,Ecuador,2015,6262,8167,40817,16399,12258,4041,1270.0,2766,420.7,201.1,160.3,716.2,843.9,1287,1904.0,631.8,974.7,211.8,668.5
356,Saint Lucia,2015,6849,9046,36378,14578,12323,5045,2136.0,3689,346.7,142.2,164.9,919.0,996.4,1745,2514.0,644.4,1460.0,238.8,783.6
357,Comoros,2015,9492,12378,18121,13977,13849,7263,2364.0,4962,468.7,275.7,604.5,967.9,1233,5448,3548.0,674.8,1743.0,1830,800.2
358,Bosnia and Herzegovina,2015,7962,12382,27440,19537,16696,5604,1336.0,3766,161.6,68.31,55.29,326.4,475.7,602.1,2249.0,250.4,766.9,77.51,244.1
359,Democratic People's Republic of Korea,2015,9862,12427,22962,14451,14249,7489,2338.0,5342,425.1,207.1,239.4,712.3,978.7,1514,3603.0,579.3,1497.0,519.1,604.3
360,Montenegro,2015,9164,12744,24486,18806,16449,6505,1527.0,4441,147.9,50.93,60.18,390.5,591.2,332.3,2744.0,324.3,871.5,43.51,320.7
361,Timor-Leste,2015,9728,12883,19055,15336,15083,7104,2088.0,4738,378.3,365.6,522.3,739.6,974.6,4462,3217.0,535.0,1421.0,770.3,600.5
362,Bolivia (Plurinational State of),2015,9490,12990,21291,16440,15747,6765,1940.0,4448,353.6,196.9,250.8,701.5,916.1,2504,2986.0,495.1,1322.0,594.2,568.7
363,Jordan,2015,7374,9720,37084,17983,14477,4240,981.8,2607,179.1,151.1,165.1,298.7,391.6,1456,1625.0,210.9,592.5,228.6,235.7
364,Central African Republic,2015,9060,8606,3801,5025,7164,9224,7066.0,8774,1419.0,508.7,877.7,3145.0,4334,9138,8079.0,1887.0,5793.0,3750,2348.0
365,Lesotho,2015,6726,6210,2870,3796,5206,7081,9271.0,7592,1561.0,356.7,509.2,6436.0,8403,7216,8337.0,2525.0,9202.0,2434,4267.0
366,Brazil,2010,7496,10006,31803,15737,13363,5327,1959.0,3838,539.5,161.4,126.6,893.2,1067,1695,2812.0,776.7,1413.0,199.9,786.5
367,Poland,2010,7832,10019,33197,16156,13063,5982,1991.0,4510,217.5,73.9,58.55,466.9,742.2,498.6,3180.0,332.0,1240.0,82.06,357.3
368,Barbados,2010,7031,10027,34777,16407,13219,5184,1828.0,3392,352.1,139.1,74.41,716.2,895.8,1386,2409.0,406.5,1056.0,112.9,586.2
369,Paraguay,2010,7196,10034,34236,15424,12463,5536,1686.0,3667,422.1,238.0,129.2,647.8,864.5,2077,2644.0,558.5,1154.0,408.6,613.9
370,Belarus,2010,10044,11700,18939,14034,13680,8596,3455.0,6493,332.8,104.5,114.8,1359.0,1838,394.9,4771.0,576.6,2560.0,150.2,857.5
371,Uganda,2010,8696,10486,12156,10045,11072,7262,4983.0,6016,925.6,600.7,1020.0,2586.0,3455,5122,5495.0,1193.0,4309.0,2777,1800.0
372,Central African Republic,2010,8579,7993,3292,4456,6506,8827,7347.0,8530,1418.0,521.7,1019.0,3431.0,4850,10047,8001.0,1792.0,6140.0,4814,2437.0
373,France,2010,4858,6706,50797,14937,10049,3691,1263.0,2852,155.3,48.97,43.26,335.5,507.4,360.8,2022.0,242.3,782.5,69.43,281.1
374,Congo,2010,10074,11379,10318,10075,11527,8600,4958.0,6998,887.6,445.2,631.6,2204.0,3094,4281,5886.0,1136.0,4021.0,1923,1562.0
375,Myanmar,2010,10092,12427,14783,12616,13286,8030,3109.0,5794,593.3,350.7,594.9,1381.0,1755,5043,4375.0,848.0,2383.0,1464,1076.0
376,Ukraine,2010,10108,12413,18130,14671,14593,7809,3175.0,5828,311.1,135.3,128.8,1484.0,1910,905.9,4282.0,564.4,2464.0,165.3,921.4
377,Guinea,2010,9788,11623,10136,10150,11586,8147,3610.0,6214,742.4,698.4,1401.0,1725.0,2193,7503,4886.0,1035.0,2846.0,4364,1353.0
378,Jordan,2010,8065,10142,33122,18123,15340,4894,1090.0,2984,190.7,143.4,162.6,314.1,466.5,1698,1855.0,237.4,636.9,280.9,255.0
379,Cambodia,2010,10152,12860,15917,13879,14192,7889,2968.0,5598,547.8,263.2,506.4,1240.0,1671,3578,4092.0,785.4,2242.0,688.9,931.4
380,Czechia,2010,7674,10161,33941,18190,14175,5597,1357.0,3716,174.1,60.59,51.46,318.5,477.5,255.8,2404.0,272.5,836.3,63.53,275.4
381,Namibia,2010,8980,10494,11626,10168,11134,7598,5398.0,6266,768.2,545.9,720.9,3226.0,4210,3464,5754.0,1277.0,4928.0,1367,2075.0
382,Somalia,2010,9987,10174,5411,6820,9049,9293,4719.0,7841,1009.0,884.1,1943.0,1973.0,2588,9384,6325.0,1430.0,3589.0,5955,1625.0
383,Kazakhstan,2010,10178,12535,15804,14098,14105,8271,3337.0,6316,420.5,191.9,186.7,1601.0,2035,1772,4643.0,709.0,2469.0,228.7,1098.0
384,Angola,2010,9623,11226,10633,10193,11412,8107,3664.0,6255,689.8,765.5,1528.0,1727.0,2209,7499,4900.0,1002.0,2882.0,4361,1322.0
385,Sao Tome and Principe,2010,10203,13084,17231,14662,14829,7710,2406.0,5264,420.4,393.5,468.8,859.5,1142,3497,3653.0,614.2,1655.0,1206,701.0
386,Democratic People's Republic of Korea,2010,10215,12769,20154,14494,14415,7693,2429.0,5435,445.7,256.4,320.7,732.5,1035,2437,3729.0,596.7,1583.0,643.9,616.1
387,Tajikistan,2010,12956,16789,10220,13894,17749,8475,1996.0,5494,297.2,109.3,95.65,828.7,1102,3690,3269.0,436.4,1374.0,637.8,586.8
388,Lao People's Democratic Republic,2010,10243,12718,14531,12855,13532,8120,2889.0,5858,577.1,610.2,672.1,1139.0,1465,4960,4283.0,823.1,2109.0,1666,949.0
389,Estonia,2010,7758,10271,32287,15935,13539,6235,1986.0,4368,234.3,92.3,83.4,761.5,886.3,333.4,2985.0,370.5,1128.0,96.37,649.4
390,Armenia,2010,10285,11816,21507,17250,17014,6564,2108.0,4696,281.7,93.32,101.4,544.6,808.8,1675,3031.0,292.8,1362.0,215.1,355.2
391,Pakistan,2010,10289,12446,12741,12002,12975,8313,3100.0,6062,644.3,388.7,513.3,1293.0,1644,7058,4489.0,944.1,2303.0,1704,1090.0
392,Vanuatu,2010,11405,12575,10297,11290,12849,9697,4374.0,7661,648.1,261.6,325.6,1760.0,2330,2389,5878.0,1093.0,3245.0,525.1,1397.0
393,Samoa,2010,10311,12563,18166,13751,14025,8271,3136.0,6203,462.9,192.4,214.1,1131.0,1513,1470,4468.0,762.0,2175.0,269.1,917.4
394,The former Yugoslav Republic of Macedonia,2010,10319,14475,15892,19874,18785,6975,1788.0,4809,207.9,80.62,70.4,350.9,618.6,948,3159.0,202.2,1074.0,119.3,253.5
395,Uzbekistan,2010,10342,15295,17740,13266,15395,9440,2055.0,4971,278.4,185.1,193.5,826.2,1084,2721,3278.0,445.9,1461.0,414.9,606.8
396,Cuba,2010,7313,10350,36302,16431,13567,5386,1394.0,3395,175.0,108.5,95.27,463.6,544,477.9,2393.0,260.0,882.2,124,337.6
397,Fiji,2010,11730,13852,13143,12463,13424,10350,3276.0,7480,454.6,274.0,243.5,922.2,1283,1977,5286.0,617.3,2115.0,377.5,732.2
398,Mexico,2010,7301,10354,34513,14420,12818,5483,1779.0,3639,428.8,155.7,126.2,851.8,1021,1659,2570.0,622.5,1260.0,274.7,723.6
399,Côte d’Ivoire,2010,9138,10537,9320,8955,10363,7923,5035.0,6482,889.6,937.4,1365.0,2318.0,3311,7657,5724.0,1063.0,4269.0,3180,1531.0
400,Japan,2010,4480,6592,53818,15215,10367,3037,879.3,2092,115.7,46.47,42.27,283.9,370.1,218.6,1363.0,203.0,569.4,84.03,225.1
401,Micronesia (Federated States of),2010,11069,12176,8750,10373,12119,9954,4908.0,8208,630.7,315.6,420.3,1967.0,2592,3069,6375.0,1192.0,3583.0,785.9,1511.0
402,Equatorial Guinea,2010,8147,10390,14478,11505,11653,6498,3690.0,4983,537.1,713.6,1253.0,2227.0,2785,7959,4246.0,916.5,3253.0,3223,1542.0
403,Kenya,2010,8657,10398,12422,10504,11126,7341,5682.0,6247,864.4,453.3,620.4,2624.0,3850,3900,5936.0,1046.0,4856.0,1855,1617.0
404,Indonesia,2010,10401,13329,17353,15047,15193,7754,2399.0,5376,423.3,246.5,396.1,823.3,1108,2974,3677.0,602.3,1616.0,609.4,672.0
405,India,2010,10439,12304,19528,12763,13686,7051,2524.0,4907,577.8,372.5,476.9,1128.0,1494,4459,3365.0,853.4,1769.0,1300,1003.0
406,Cameroon,2010,8963,10460,9752,9259,10488,7668,4586.0,6202,758.6,822.0,1550.0,2663.0,3372,6953,5340.0,1183.0,4018.0,4102,1861.0
407,Uruguay,2010,7905,10471,33866,16061,13560,5362,1594.0,3795,390.3,120.5,89.69,576.3,745.6,752.7,2546.0,542.7,897.9,169.1,556.3
408,Burkina Faso,2010,9566,11708,11102,10489,11943,7842,3503.0,5928,764.9,703.7,1356.0,1433.0,1951,6893,4688.0,936.6,2673.0,5391,1129.0
409,Guinea-Bissau,2010,9850,10491,7266,7971,9864,8881,5086.0,7495,877.2,372.9,1566.0,2331.0,3139,7237,6290.0,1256.0,4129.0,4200,1697.0
410,Madagascar,2010,10491,12457,12013,11630,12836,8619,3415.0,6449,640.8,768.9,1168.0,1404.0,1832,4632,4844.0,939.3,2558.0,2168,1138.0
411,Togo,2010,9575,11210,10501,9983,11295,8115,4562.0,6457,778.8,599.8,1028.0,2206.0,3000,5802,5461.0,1054.0,3832.0,3031,1509.0
412,Papua New Guinea,2010,10533,12251,12154,11380,12572,8779,3895.0,6724,632.3,392.8,577.3,1671.0,2251,4464,5193.0,963.1,3025.0,1283,1260.0
413,Trinidad and Tobago,2010,8302,10546,26784,15469,14331,6292,2151.0,3993,502.5,166.0,126.2,1239.0,1279,2043,3018.0,948.8,1521.0,257.2,1031.0
414,Dominican Republic,2010,6489,9881,34443,14792,10550,5616,2119.0,3505,337.9,172.3,184.8,1044.0,1297,2828,3041.0,653.1,1630.0,606.4,811.1
415,Argentina,2010,7874,10583,32317,16645,13614,5639,1576.0,3920,355.7,135.8,100.8,565.0,726.2,1216,2525.0,487.4,1032.0,195.5,493.2
416,Solomon Islands,2010,11378,12557,8904,10590,12360,9994,4910.0,8266,661.8,239.2,288.5,1901.0,2561,2269,6468.0,1157.0,3603.0,422.6,1468.0
417,Antigua and Barbuda,2010,7572,10593,30588,18523,14588,5943,1447.0,3913,277.8,121.8,94.28,535.0,740,818.7,2231.0,460.3,940.4,143.9,471.0
418,El Salvador,2010,5703,7867,37867,16260,10641,4529,1947.0,3233,698.1,188.5,121.5,1478.0,1429,1550,2574.0,1001.0,1480.0,282.4,1151.0
419,Türkiye,2010,7757,10681,34832,16385,15287,4850,1136.0,2976,174.1,173.6,230.0,261.5,400.4,1550,1975.0,192.7,656.2,260.4,222.8
420,United Republic of Tanzania,2010,8489,10686,13908,11064,11676,6904,4654.0,5511,740.2,354.5,872.1,2548.0,3488,4805,4988.0,1021.0,4113.0,2495,1683.0
421,Albania,2010,8183,10693,31867,16546,15714,5064,1387.0,2702,370.5,135.5,142.4,809.1,873,1200,1849.0,564.3,1081.0,147.9,671.1
422,Switzerland,2010,4605,6775,51938,16635,10753,3131,793.8,2085,137.9,41.5,33.17,214.6,294.8,388.1,1285.0,148.3,504.1,49.92,186.8
423,Egypt,2010,10759,13047,19495,13872,13539,8297,2438.0,7040,356.6,241.2,269.5,552.1,737.9,2499,4233.0,434.7,1242.0,477.9,468.7
424,Guyana,2010,11524,10766,11378,10897,15646,8645,3997.0,7099,651.5,258.2,203.9,1925.0,2408,3214,5234.0,1146.0,2963.0,738.7,1305.0
425,Sierra Leone,2010,9256,10948,9356,9391,10834,7748,3498.0,5920,727.9,848.4,1789.0,1681.0,2147,10767,4695.0,1011.0,2774.0,5279,1330.0
426,Jamaica,2010,7422,10781,34676,14599,13047,5275,1786.0,3763,203.8,172.4,150.5,683.4,940.5,1614,2463.0,352.6,1316.0,280.8,472.9
427,Kiribati,2010,11170,11218,4880,7299,9905,10784,6179.0,9479,924.2,423.2,641.9,2392.0,3249,4141,7750.0,1540.0,4562.0,1577,1886.0
428,Tunisia,2010,7365,10790,31242,19498,15035,4745,1228.0,3055,236.2,165.6,176.3,512.6,604.6,1609,1870.0,348.3,847.1,267.2,406.5
429,Seychelles,2010,8344,10804,24508,16461,15903,6669,2382.0,4609,293.2,140.2,141.4,822.0,1183,1222,3522.0,445.8,1654.0,222.6,674.8
430,Afghanistan,2010,10812,11983,9223,9847,11754,9293,4016.0,7289,844.3,374.2,523.8,1738.0,2196,6445,5556.0,1276.0,2992.0,2371,1466.0
431,Australia,2010,4542,7186,51311,16430,10833,2879,910.6,1942,176.3,49.92,51.59,325.1,442.4,423.5,1333.0,223.1,613.2,77.83,250.2
432,Croatia,2010,8419,10873,30019,18633,15757,5215,1517.0,3974,173.6,59.89,60.29,325.2,499.3,385.8,2579.0,270.6,874.2,82.88,282.6
433,Bangladesh,2010,9206,10904,23031,17377,13450,6514,1816.0,4507,434.5,371.8,491.3,553.7,741.8,3941,3504.0,438.3,1166.0,1008,545.8
434,Mongolia,2010,13875,12152,11153,11240,10946,9805,4410.0,8171,431.6,276.7,288.3,1435.0,2043,2423,6191.0,708.3,2950.0,515,987.4
435,Gabon,2010,9759,11402,12388,10976,11932,8264,4298.0,6524,620.8,762.3,675.9,2109.0,2783,4188,5309.0,990.5,3497.0,2051,1469.0
436,Latvia,2010,8952,10977,25552,14910,13293,7516,2839.0,5610,275.0,106.1,116.5,774.4,1308,646.3,4016.0,444.8,1960.0,125.7,577.8
437,Bahrain,2010,9326,15653,15578,22755,22134,5061,1016.0,3345,278.0,100.2,121.1,344.1,401,740.1,1729.0,351.4,630.2,122.2,314.7
438,Ecuador,2010,6170,9193,35336,16504,12970,4797,1674.0,3147,558.6,223.6,188.9,1016.0,1001,1565,2287.0,853.6,1301.0,263.7,953.9
439,Malawi,2010,8365,9621,9672,8542,9738,7365,6002.0,6403,910.5,533.9,1001.0,3499.0,4677,5242,6098.0,1404.0,5445.0,3214,2267.0
440,Sri Lanka,2010,7828,13234,27598,14893,14462,5184,2034.0,3896,754.9,187.5,172.1,998.6,1129,1008,2729.0,1273.0,1327.0,163.2,1130.0
441,United Arab Emirates,2010,9225,12158,27214,16561,15087,6425,1736.0,4222,264.8,106.0,101.0,587.8,748.7,664.4,2722.0,443.6,1111.0,114.8,509.0
442,Benin,2010,9587,11960,12872,11457,12565,7612,3021.0,5632,615.3,747.2,1451.0,1281.0,1682,7116,4242.0,815.4,2284.0,4049,1010.0
443,Saudi Arabia,2010,9927,12491,21476,14703,14527,7668,2660.0,5659,364.8,126.4,129.8,889.5,1193,1010,3964.0,586.3,1755.0,166.8,705.6
444,Bolivia (Plurinational State of),2010,9285,12717,20937,15916,15257,6739,2028.0,4467,386.4,223.3,303.0,797.6,1011,3355,3075.0,556.6,1429.0,861.5,654.4
445,Ghana,2010,9960,11858,11824,11141,12218,8345,4043.0,6438,723.6,528.4,765.3,1877.0,2493,4739,5178.0,1018.0,3267.0,2228,1357.0
446,Lebanon,2010,8601,11975,28303,17987,15556,5809,1516.0,3608,271.9,117.9,116.6,419.9,578.1,1018,2372.0,345.5,902.0,148.2,352.5
447,Timor-Leste,2010,9245,12498,19465,15334,14838,6754,2028.0,4489,379.3,409.1,615.6,775.7,996.5,5463,3089.0,547.4,1417.0,1019,637.2
448,Comoros,2010,9541,12386,16672,13467,13662,7350,2463.0,5089,507.5,284.6,693.4,1022.0,1300,6247,3673.0,713.5,1815.0,2259,855.0
449,Liberia,2010,9399,11583,12838,11497,12206,7601,3464.0,5665,612.5,807.5,1022.0,1668.0,2183,7222,4490.0,908.8,2827.0,2760,1247.0
450,Honduras,2010,8986,11883,23700,14783,13958,6879,2436.0,4854,423.9,252.0,238.4,1026.0,1329,1969,3427.0,780.9,1835.0,357.3,880.5
451,Spain,2010,4694,7180,49983,16616,11133,3285,1026.0,2360,113.2,53.19,42.88,225.9,345.7,306.1,1621.0,157.3,615.1,72.34,170.8
452,United States of America,2010,6294,8548,42369,15167,11931,4439,1561.0,3210,245.4,71.09,56.77,545.4,684.5,582.7,2309.0,428.3,969.9,103.9,483.8
453,New Zealand,2010,5088,7574,48251,16749,11314,3223,1034.0,2210,264.5,77.32,31.28,321.0,472.7,560.7,1462.0,312.1,679.6,105.9,270.0
454,Saint Vincent and the Grenadines,2010,7588,9473,25536,18240,15876,5424,2452.0,4149,367.6,253.5,178.4,1036.0,1315,1508,3190.0,599.5,1782.0,219.3,812.1
455,Republic of Moldova,2010,11530,13478,14414,12682,14541,9128,3766.0,7011,288.3,147.9,138.5,1039.0,1669,1407,5103.0,428.7,2378.0,242.9,608.1
456,Senegal,2010,9580,12396,16557,13420,13665,7378,2697.0,5184,529.6,679.7,1039.0,1171.0,1515,4234,3834.0,745.3,2056.0,2391,929.0
457,Netherlands,2010,5677,8223,45019,17596,12856,3671,901.6,2467,104.0,48.88,38.22,233.6,332.2,376,1551.0,151.1,523.8,73.48,157.2
458,Haiti,2010,3787,3294,1040,1597,2427,4350,4883.0,4401,7116.0,5846.0,6797.0,5762.0,5381,8467,4740.0,6730.0,5132.0,11895,6356.0
459,Serbia,2010,9806,12994,21290,18065,17309,6734,1896.0,4966,180.9,74.76,63.83,420.2,620,664.5,3155.0,260.9,1041.0,119,339.3
460,Venezuela (Bolivarian Republic of),2010,6266,9241,34109,16640,12722,4876,1645.0,3603,826.8,189.7,150.3,1066.0,1042,1476,2406.0,1173.0,1177.0,240.5,1153.0
461,Bahamas,2010,7886,9600,30003,14153,12822,5827,2650.0,4425,477.8,162.6,161.1,1293.0,1747,1137,3396.0,967.9,2067.0,180,1044.0
462,United Kingdom of Great Britain and Northern Ireland,2010,5649,8502,44507,17058,12473,3761,1049.0,2553,147.1,51.6,47.49,356.1,503.6,439,1649.0,207.6,726.8,73.54,245.8
463,Ethiopia,2010,9265,11851,14841,12329,12893,7248,3306.0,5319,662.2,735.5,1122.0,1463.0,1999,5518,4208.0,793.7,2640.0,2755,1052.0
464,Botswana,2010,8792,9485,8305,8088,9458,8087,6678.0,7215,987.2,282.6,496.0,4665.0,5682,2483,6864.0,1907.0,6360.0,1053,3112.0
465,Zambia,2010,8924,9803,8701,8282,9562,8061,5820.0,6967,1053.0,464.5,953.5,3429.0,4385,5371,6334.0,1625.0,5134.0,2743,2389.0
466,Peru,2010,5932,8794,41512,15223,11553,4236,1462.0,2904,343.9,187.8,197.6,668.7,839.9,1460,2094.0,497.4,1059.0,450.6,586.3
467,Mauritius,2010,9169,11631,25986,15550,13886,6764,2358.0,4808,259.1,111.6,106.0,714.7,1095,1296,3512.0,399.3,1585.0,216.5,552.2
468,Thailand,2010,6285,8608,39259,14444,11748,4389,1933.0,3308,492.0,260.9,234.3,1061.0,1304,1126,2421.0,594.8,1556.0,189.2,785.3
469,Democratic Republic of the Congo,2010,9875,11331,9412,9619,11141,8419,4029.0,6613,784.0,930.7,1412.0,1752.0,2344,8393,5304.0,1062.0,3167.0,3076,1336.0
470,Austria,2010,5661,7499,45775,17234,11672,4200,1063.0,2632,181.4,46.17,41.31,276.7,400.6,398.3,1741.0,290.0,578.9,76.49,231.9
471,Lithuania,2010,8417,9705,27898,14877,12198,7204,2966.0,5806,325.4,94.75,78.0,1063.0,1479,488,3992.0,548.3,2075.0,123.5,663.2
472,China,2010,7941,12132,26000,20113,16291,5454,1580.0,3306,226.7,120.9,132.3,523.0,691.6,1337,2149.0,330.6,1071.0,222.7,376.3
473,Mali,2010,9114,11579,12840,11337,12299,7178,2984.0,5223,605.8,799.9,1503.0,1393.0,1814,7719,4002.0,804.1,2320.0,5409,1076.0
474,Brunei Darussalam,2010,9676,12988,23945,17420,18143,5514,1621.0,3668,225.6,132.3,146.1,534.9,662.8,871.2,2423.0,388.1,1077.0,187.3,377.4
475,Mozambique,2010,8365,9117,7486,7297,8712,7678,5657.0,6778,1146.0,794.3,1077.0,4109.0,4736,7382,6216.0,1962.0,5191.0,3237,3058.0
476,Slovakia,2010,8381,11287,27309,18280,15401,6413,1832.0,4306,164.8,93.65,82.36,386.7,658.7,564.9,3079.0,281.7,1077.0,114.5,286.5
477,Kuwait,2010,6128,9148,44029,16306,12219,4015,977.3,2590,182.3,115.8,108.4,301.8,363.1,813.7,1530.0,234.3,541.5,148.8,246.8
478,Qatar,2010,9798,19669,13302,22463,21030,5019,849.5,2703,425.7,114.3,109.1,356.7,384.3,785.2,1540.0,432.9,551.2,117.8,349.3
479,Greece,2010,5210,7589,44363,18783,11906,3764,1090.0,2688,197.2,54.1,53.11,378.5,447.3,381.7,1728.0,285.4,684.8,70.52,325.6
480,Rwanda,2010,9373,12038,15416,12688,13285,7373,3315.0,5453,584.6,751.4,984.2,1505.0,2015,4354,4301.0,820.5,2629.0,2025,1090.0
481,Germany,2010,5801,8113,43940,17451,12496,4080,1093.0,2826,133.8,45.9,43.56,264.0,388.4,344.8,1879.0,184.4,625.7,70.29,220.4
482,Cabo Verde,2010,6266,9452,34576,15200,12314,4061,2468.0,3736,352.4,153.9,143.7,1094.0,1567,2277,2765.0,519.5,1822.0,431.3,801.0
483,Belize,2010,6918,9693,32456,14185,12016,5540,2428.0,4526,533.6,188.2,165.2,1274.0,1443,1650,3173.0,838.2,1617.0,261.1,1095.0
484,Costa Rica,2010,5224,7736,46000,15786,11756,3426,1095.0,2609,292.5,115.4,94.28,590.5,707.4,916.3,1707.0,439.1,863.8,168.4,473.9
485,Maldives,2010,8581,13674,30671,18993,15171,4719,825.6,2544,186.7,160.8,152.3,242.2,244.2,1097,1659.0,219.3,479.0,196.1,184.4
486,Tonga,2010,9748,12121,24258,14390,13693,7138,2545.0,5424,327.6,142.5,228.7,760.0,1098,1435,3693.0,475.7,1726.0,250.2,546.7
487,Nepal,2010,9677,12934,19234,15093,14957,7129,2214.0,4844,418.6,264.7,416.0,843.9,1099,3679,3390.0,589.9,1566.0,960,690.7
488,Burundi,2010,9694,11131,9696,9676,11067,8379,4699.0,6798,907.3,886.1,1341.0,1910.0,2762,5920,5742.0,1101.0,3750.0,3173,1369.0
489,Hungary,2010,8586,11079,27085,16088,13733,7189,2583.0,5752,165.8,73.53,57.62,370.7,664,486.7,4251.0,195.2,1278.0,91.88,269.5
490,Chad,2010,9539,11263,9388,9526,11092,7971,3494.0,6046,737.7,983.2,1693.0,1577.0,2054,8579,4744.0,980.2,2726.0,6364,1243.0
491,Niger,2010,9372,11774,12239,11171,12370,7454,2911.0,5453,597.6,1469.0,1909.0,1237.0,1631,6327,4072.0,774.9,2166.0,6089,982.2
492,Suriname,2010,8672,11181,25927,14179,13903,5952,2443.0,4824,459.9,190.5,156.4,1174.0,1311,2083,3653.0,796.6,1864.0,258.2,973.4
493,Eritrea,2010,11188,11920,7980,9031,11249,9952,5159.0,8190,844.6,478.6,519.9,1999.0,2801,3829,6667.0,1190.0,3902.0,1607,1493.0
494,Oman,2010,14820,16815,14454,11256,16491,8926,2005.0,5658,490.2,127.1,129.0,717.7,861.9,995.8,3414.0,693.6,1287.0,171.8,687.1
495,Azerbaijan,2010,11259,15366,12956,15312,17464,8239,2085.0,5603,300.9,159.0,200.1,677.9,883.1,3333,3481.0,385.6,1312.0,497.7,484.7
496,Russian Federation,2010,9479,11289,18000,13500,13364,8084,3699.0,6399,429.9,160.9,141.7,2068.0,2379,928.4,4832.0,827.6,2858.0,147.3,1414.0
497,Canada,2010,5194,7728,49509,15279,11294,3490,950.0,2324,193.3,53.88,40.71,306.5,407,479,1548.0,253.8,607.7,79.6,262.3
