Country,Group1,Group2,corr
Afghanistan,Polio,GDP,0.23008435051096432
Afghanistan,Polio,Schooling,0.4844711183593925
Afghanistan,Polio,BodyMassIndex,0.3299963202463219
Afghanistan,Polio,Alcohol,0.13469416420475092
Afghanistan,Polio,Hepatitis B,0.038724168748362264
Afghanistan,Polio,Polio,1.0
Afghanistan,Polio,ICOR index,0.42377014970658494
Afghanistan,ICOR index,Population,0.15845017750130938
Afghanistan,ICOR index,LifeExpectancy,0.8569018994921824
Afghanistan,ICOR index,AdultMortality,0.19431772829095162
Afghanistan,ICOR index,InfantDeaths,-0.9353891900106063
Afghanistan,ICOR index,DeathsUnder5,-0.9326458860632061
Afghanistan,ICOR index,TotalExpenditure,0.1356000532449061
Afghanistan,ICOR index,GDP,0.7650050563859846
Afghanistan,ICOR index,Schooling,0.9909373572246137
Afghanistan,ICOR index,BodyMassIndex,0.9827097110234071
Afghanistan,ICOR index,Alcohol,-0.07326729083551575
Afghanistan,ICOR index,Hepatitis B,0.24520211750429471
Afghanistan,ICOR index,Polio,0.42377014970658494
Afghanistan,ICOR index,ICOR index,1.0
Albania,Population,Population,1.0
Albania,Population,LifeExpectancy,0.007857827272079043
Albania,Population,AdultMortality,0.24439383317682445
Albania,Population,InfantDeaths,0.3182503291933662
Albania,Population,DeathsUnder5,0.15785107579347257
Albania,Population,TotalExpenditure,-0.19546185629843826
Albania,Population,GDP,-0.15968364247400335
Albania,Population,Schooling,-0.0885719562239983
Albania,Population,BodyMassIndex,-0.4742316952082947
Albania,Population,Alcohol,0.5654319609379895
Albania,Population,Hepatitis B,0.18853579664353354
Albania,Population,Polio,-0.0819363702840221
Albania,Population,ICOR index,0.016078271625331278
Albania,LifeExpectancy,Population,0.007857827272079043
Albania,LifeExpectancy,LifeExpectancy,1.0
Albania,LifeExpectancy,AdultMortality,0.5316701904126652
Albania,LifeExpectancy,InfantDeaths,-0.7748253920309116
Albania,LifeExpectancy,DeathsUnder5,-0.38385055269458385
Albania,LifeExpectancy,TotalExpenditure,-0.7144740487623316
Albania,LifeExpectancy,GDP,0.6881547694264667
Albania,LifeExpectancy,Schooling,0.9433936165884081
Albania,LifeExpectancy,BodyMassIndex,0.4522270569887251
Albania,LifeExpectancy,Alcohol,0.48048811543887604
Albania,LifeExpectancy,Hepatitis B,0.6664204060210318
Albania,LifeExpectancy,Polio,0.7746097654329265
Albania,LifeExpectancy,ICOR index,0.9649286589314452
Albania,AdultMortality,Population,0.24439383317682445
Albania,AdultMortality,LifeExpectancy,0.5316701904126652
Albania,AdultMortality,AdultMortality,1.0
Albania,AdultMortality,InfantDeaths,-0.4072509547929952
Albania,AdultMortality,DeathsUnder5,-0.19676268888221163
Albania,AdultMortality,TotalExpenditure,-0.7234519996914321
Albania,AdultMortality,GDP,0.42206318976326385
Albania,AdultMortality,Schooling,0.5381641404931694
Albania,AdultMortality,BodyMassIndex,-0.14545880921621077
Albania,AdultMortality,Alcohol,0.4436439939122153
Albania,AdultMortality,Hepatitis B,0.5049478191922476
Albania,AdultMortality,Polio,0.3570009952892153
Albania,AdultMortality,ICOR index,0.5561599198741822
Albania,InfantDeaths,Population,0.3182503291933662
Albania,InfantDeaths,LifeExpectancy,-0.7748253920309116
Albania,InfantDeaths,AdultMortality,-0.4072509547929952
Albania,InfantDeaths,InfantDeaths,1.0
Albania,InfantDeaths,DeathsUnder5,0.38297084310253526
Albania,InfantDeaths,TotalExpenditure,0.4283801560828347
Albania,InfantDeaths,GDP,-0.8363366535275947
Albania,InfantDeaths,Schooling,-0.9083338548094974
Albania,InfantDeaths,BodyMassIndex,-0.42324114905823135
Albania,InfantDeaths,Alcohol,-0.0288964452643551
Albania,InfantDeaths,Hepatitis B,-0.4824181513244215
Albania,InfantDeaths,Polio,-0.5310476489128431
Albania,InfantDeaths,ICOR index,-0.8399574540083685
Albania,DeathsUnder5,Population,0.15785107579347257
Albania,DeathsUnder5,LifeExpectancy,-0.38385055269458385
Albania,DeathsUnder5,AdultMortality,-0.19676268888221163
Albania,DeathsUnder5,InfantDeaths,0.38297084310253526
Albania,DeathsUnder5,DeathsUnder5,1.0
Albania,DeathsUnder5,TotalExpenditure,-0.05022156414595062
Albania,DeathsUnder5,GDP,-0.2663329466226827
Albania,DeathsUnder5,Schooling,-0.38112741077138046
Albania,DeathsUnder5,BodyMassIndex,-0.19428385265706116
Albania,DeathsUnder5,Alcohol,0.10101984885806002
Albania,DeathsUnder5,Hepatitis B,-0.2309401076758508
Albania,DeathsUnder5,Polio,-0.2636352520041483
Albania,DeathsUnder5,ICOR index,-0.3765868399112274
Albania,TotalExpenditure,Population,-0.19546185629843826
Albania,TotalExpenditure,LifeExpectancy,-0.7144740487623316
Albania,TotalExpenditure,AdultMortality,-0.7234519996914321
Albania,TotalExpenditure,InfantDeaths,0.4283801560828347
Albania,TotalExpenditure,DeathsUnder5,-0.05022156414595062
Albania,TotalExpenditure,TotalExpenditure,1.0
Albania,TotalExpenditure,GDP,-0.34006468237266696
Albania,TotalExpenditure,Schooling,-0.6624881980852858
Albania,TotalExpenditure,BodyMassIndex,-0.16050435604340038
Albania,TotalExpenditure,Alcohol,-0.579508458516772
Albania,TotalExpenditure,Hepatitis B,-0.5679105611293784
Albania,TotalExpenditure,Polio,-0.5560221156901637
Albania,TotalExpenditure,ICOR index,-0.6840614792091874
Albania,GDP,Population,-0.15968364247400335
Albania,GDP,LifeExpectancy,0.6881547694264667
Albania,GDP,AdultMortality,0.42206318976326385
Albania,GDP,InfantDeaths,-0.8363366535275947
Albania,GDP,DeathsUnder5,-0.2663329466226827
Albania,GDP,TotalExpenditure,-0.34006468237266696
Albania,GDP,GDP,1.0
Albania,GDP,Schooling,0.7876247498176858
Albania,GDP,BodyMassIndex,0.5035492502367993
Albania,GDP,Alcohol,0.04097213217466877
Albania,GDP,Hepatitis B,0.3866103155829181
Albania,GDP,Polio,0.45530108872269714
Albania,GDP,ICOR index,0.7315095466836601
Albania,Schooling,Population,-0.0885719562239983
Albania,Schooling,LifeExpectancy,0.9433936165884081
Albania,Schooling,AdultMortality,0.5381641404931694
Albania,Schooling,InfantDeaths,-0.9083338548094974
Albania,Schooling,DeathsUnder5,-0.38112741077138046
Albania,Schooling,TotalExpenditure,-0.6624881980852858
Albania,Schooling,GDP,0.7876247498176858
Albania,Schooling,Schooling,1.0
Albania,Schooling,BodyMassIndex,0.4449079284018101
Albania,Schooling,Alcohol,0.29518938204006817
Albania,Schooling,Hepatitis B,0.6641328398532849
Albania,Schooling,Polio,0.7059601812020909
Albania,Schooling,ICOR index,0.9793480110322133
Albania,BodyMassIndex,Population,-0.4742316952082947
Albania,BodyMassIndex,LifeExpectancy,0.4522270569887251
Albania,BodyMassIndex,AdultMortality,-0.14545880921621077
Albania,BodyMassIndex,InfantDeaths,-0.42324114905823135
Albania,BodyMassIndex,DeathsUnder5,-0.19428385265706116
Albania,BodyMassIndex,TotalExpenditure,-0.16050435604340038
Albania,BodyMassIndex,GDP,0.5035492502367993
Albania,BodyMassIndex,Schooling,0.4449079284018101
Albania,BodyMassIndex,BodyMassIndex,1.0
Albania,BodyMassIndex,Alcohol,0.005088302208730807
Albania,BodyMassIndex,Hepatitis B,0.2708089079608797
Albania,BodyMassIndex,Polio,0.560768392979402
Albania,BodyMassIndex,ICOR index,0.4272710288837709
Albania,Alcohol,Population,0.5654319609379895
Albania,Alcohol,LifeExpectancy,0.48048811543887604
Albania,Alcohol,AdultMortality,0.4436439939122153
Albania,Alcohol,InfantDeaths,-0.0288964452643551
Albania,Alcohol,DeathsUnder5,0.10101984885806002
Albania,Alcohol,TotalExpenditure,-0.579508458516772
Albania,Alcohol,GDP,0.04097213217466877
Albania,Alcohol,Schooling,0.29518938204006817
Albania,Alcohol,BodyMassIndex,0.005088302208730807
Albania,Alcohol,Alcohol,1.0
Albania,Alcohol,Hepatitis B,0.679663205249264
Albania,Alcohol,Polio,0.4556949709766256
Albania,Alcohol,ICOR index,0.43671245580053547
Albania,Hepatitis B,Population,0.18853579664353354
Albania,Hepatitis B,LifeExpectancy,0.6664204060210318
Albania,Hepatitis B,AdultMortality,0.5049478191922476
Albania,Hepatitis B,InfantDeaths,-0.4824181513244215
Albania,Hepatitis B,DeathsUnder5,-0.2309401076758508
Albania,Hepatitis B,TotalExpenditure,-0.5679105611293784
Albania,Hepatitis B,GDP,0.3866103155829181
Albania,Hepatitis B,Schooling,0.6641328398532849
Albania,Hepatitis B,BodyMassIndex,0.2708089079608797
Albania,Hepatitis B,Alcohol,0.679663205249264
Albania,Hepatitis B,Hepatitis B,1.0
Albania,Hepatitis B,Polio,0.7175608803587841
Albania,Hepatitis B,ICOR index,0.7508115570509944
Albania,Polio,Population,-0.0819363702840221
Albania,Polio,LifeExpectancy,0.7746097654329265
Albania,Polio,AdultMortality,0.3570009952892153
Albania,Polio,InfantDeaths,-0.5310476489128431
Albania,Polio,DeathsUnder5,-0.2636352520041483
Albania,Polio,TotalExpenditure,-0.5560221156901637
Albania,Polio,GDP,0.45530108872269714
Albania,Polio,Schooling,0.7059601812020909
Albania,Polio,BodyMassIndex,0.560768392979402
Albania,Polio,Alcohol,0.4556949709766256
Albania,Polio,Hepatitis B,0.7175608803587841
Albania,Polio,Polio,1.0
Albania,Polio,ICOR index,0.7331326360552523
Albania,ICOR index,Population,0.016078271625331278
Albania,ICOR index,LifeExpectancy,0.9649286589314452
Albania,ICOR index,AdultMortality,0.5561599198741822
Albania,ICOR index,InfantDeaths,-0.8399574540083685
Albania,ICOR index,DeathsUnder5,-0.3765868399112274
Albania,ICOR index,TotalExpenditure,-0.6840614792091874
Albania,ICOR index,GDP,0.7315095466836601
Albania,ICOR index,Schooling,0.9793480110322133
Albania,ICOR index,BodyMassIndex,0.4272710288837709
Albania,ICOR index,Alcohol,0.43671245580053547
Albania,ICOR index,Hepatitis B,0.7508115570509944
Albania,ICOR index,Polio,0.7331326360552523
Albania,ICOR index,ICOR index,1.0
Algeria,Population,Population,1.0
Algeria,Population,LifeExpectancy,0.5812003720613282
Algeria,Population,AdultMortality,-0.2662231923858192
Algeria,Population,InfantDeaths,0.47210607861675385
Algeria,Population,DeathsUnder5,0.31273219062191
Algeria,Population,TotalExpenditure,0.5742240023285577
Algeria,Population,GDP,0.37471832850895626
Algeria,Population,Schooling,0.6531906355544922
Algeria,Population,BodyMassIndex,0.5436506651802818
Algeria,Population,Alcohol,0.2845822387595739
Algeria,Population,Hepatitis B,0.22644211139469178
Algeria,Population,Polio,0.5649588493856597
Algeria,Population,ICOR index,0.6195920410730278
Algeria,LifeExpectancy,Population,0.5812003720613282
Algeria,LifeExpectancy,LifeExpectancy,1.0
Algeria,LifeExpectancy,AdultMortality,-0.45397279084873565
Algeria,LifeExpectancy,InfantDeaths,0.5491487847065015
Algeria,LifeExpectancy,DeathsUnder5,0.18519321803405123
Algeria,LifeExpectancy,TotalExpenditure,0.8297452845264702
Algeria,LifeExpectancy,GDP,0.5760277492898918
Algeria,LifeExpectancy,Schooling,0.9766962140186465
Algeria,LifeExpectancy,BodyMassIndex,0.35004480355669476
Algeria,LifeExpectancy,Alcohol,0.38074944952873135
Algeria,LifeExpectancy,Hepatitis B,0.22423812273653396
Algeria,LifeExpectancy,Polio,0.8973812376757999
Algeria,LifeExpectancy,ICOR index,0.984151820142309
Algeria,AdultMortality,Population,-0.2662231923858192
Algeria,AdultMortality,LifeExpectancy,-0.45397279084873565
Algeria,AdultMortality,AdultMortality,1.0
Algeria,AdultMortality,InfantDeaths,-0.11076189704497728
Algeria,AdultMortality,DeathsUnder5,-0.14605528071482665
Algeria,AdultMortality,TotalExpenditure,-0.47816545062143995
Algeria,AdultMortality,GDP,-0.06592910548262404
Algeria,AdultMortality,Schooling,-0.4812379976206599
Algeria,AdultMortality,BodyMassIndex,-0.31953621843813884
Algeria,AdultMortality,Alcohol,-0.4582572759168838
Algeria,AdultMortality,Hepatitis B,-0.2500538906184292
Algeria,AdultMortality,Polio,-0.21270512347627202
Algeria,AdultMortality,ICOR index,-0.526092964103655
Algeria,InfantDeaths,Population,0.47210607861675385
Algeria,InfantDeaths,LifeExpectancy,0.5491487847065015
Algeria,InfantDeaths,AdultMortality,-0.11076189704497728
Algeria,InfantDeaths,InfantDeaths,1.0
Algeria,InfantDeaths,DeathsUnder5,0.8426648406178135
Algeria,InfantDeaths,TotalExpenditure,0.7072515922035059
Algeria,InfantDeaths,GDP,0.5111718530324926
Algeria,InfantDeaths,Schooling,0.6064182862909556
Algeria,InfantDeaths,BodyMassIndex,0.33533544826336037
Algeria,InfantDeaths,Alcohol,0.24722383511429538
Algeria,InfantDeaths,Hepatitis B,0.3137599911678028
Algeria,InfantDeaths,Polio,0.558510712293315
Algeria,InfantDeaths,ICOR index,0.5375299385410331
Algeria,DeathsUnder5,Population,0.31273219062191
Algeria,DeathsUnder5,LifeExpectancy,0.18519321803405123
